$ python train.py 1>training.log
Epoch 1/1000, Train Loss: -0.1113, Learning Rate: 4.0e-04
Epoch 66/1000, Train Loss: -0.2543, Learning Rate: 4.0e-04
Epoch 67/1000, Train Loss: -0.2543, Learning Rate: 4.0e-04
Epoch 68/1000, Train Loss: -0.2548, Learning Rate: 4.0e-04
Epoch 69/1000, Train Loss: -0.2546, Learning Rate: 4.0e-04
Epoch 70/1000, Train Loss: -0.2534, Learning Rate: 4.0e-04
Epoch 71/1000, Train Loss: -0.2510, Learning Rate: 4.0e-04
Epoch 72/1000, Train Loss: -0.2552, Learning Rate: 4.0e-04
Epoch 73/1000, Train Loss: -0.2567, Learning Rate: 4.0e-04
Epoch 74/1000, Train Loss: -0.2571, Learning Rate: 4.0e-04
Epoch 75/1000, Train Loss: -0.2559, Learning Rate: 4.0e-04
Epoch 75/1000, Val L1: 0.0294, Val PSNR: 28.02 dB
Saving checkpoint to ./ckpts/ckpt_74.pth
Epoch 76/1000, Train Loss: -0.2555, Learning Rate: 4.0e-04
Epoch 77/1000, Train Loss: -0.2560, Learning Rate: 4.0e-04
Epoch 78/1000, Train Loss: -0.2564, Learning Rate: 4.0e-04
Epoch 79/1000, Train Loss: -0.2586, Learning Rate: 4.0e-04
Epoch 80/1000, Train Loss: -0.2557, Learning Rate: 4.0e-04
Epoch 81/1000, Train Loss: -0.2575, Learning Rate: 4.0e-04
Epoch 82/1000, Train Loss: -0.2542, Learning Rate: 4.0e-04
Epoch 83/1000, Train Loss: -0.2587, Learning Rate: 4.0e-04
Epoch 84/1000, Train Loss: -0.2583, Learning Rate: 4.0e-04
Epoch 85/1000, Train Loss: -0.2571, Learning Rate: 4.0e-04
Epoch 86/1000, Train Loss: -0.2589, Learning Rate: 4.0e-04
Epoch 87/1000, Train Loss: -0.2587, Learning Rate: 4.0e-04
Epoch 88/1000, Train Loss: -0.2580, Learning Rate: 4.0e-04
Epoch 89/1000, Train Loss: -0.2601, Learning Rate: 4.0e-04
Epoch 90/1000, Train Loss: -0.2592, Learning Rate: 4.0e-04
Epoch 91/1000, Train Loss: -0.2599, Learning Rate: 4.0e-04
Epoch 92/1000, Train Loss: -0.2611, Learning Rate: 4.0e-04
Epoch 93/1000, Train Loss: -0.2602, Learning Rate: 4.0e-04
Epoch 94/1000, Train Loss: -0.2607, Learning Rate: 4.0e-04
Epoch 95/1000, Train Loss: -0.2616, Learning Rate: 4.0e-04
Epoch 96/1000, Train Loss: -0.2609, Learning Rate: 4.0e-04
Epoch 97/1000, Train Loss: -0.2626, Learning Rate: 4.0e-04
Epoch 98/1000, Train Loss: -0.2622, Learning Rate: 4.0e-04
Epoch 99/1000, Train Loss: -0.2625, Learning Rate: 4.0e-04
Epoch 100/1000, Train Loss: -0.2610, Learning Rate: 4.0e-04
Epoch 100/1000, Val L1: 0.0289, Val PSNR: 28.44 dB
Saving checkpoint to ./ckpts/ckpt_99.pth
Epoch 101/1000, Train Loss: -0.2618, Learning Rate: 4.0e-04
Epoch 102/1000, Train Loss: -0.2590, Learning Rate: 4.0e-04
Epoch 103/1000, Train Loss: -0.2604, Learning Rate: 4.0e-04
Epoch 104/1000, Train Loss: -0.2617, Learning Rate: 4.0e-04
Epoch 105/1000, Train Loss: -0.2622, Learning Rate: 4.0e-04
Epoch 106/1000, Train Loss: -0.2632, Learning Rate: 4.0e-04
Epoch 107/1000, Train Loss: -0.2630, Learning Rate: 4.0e-04
Epoch 108/1000, Train Loss: -0.2623, Learning Rate: 4.0e-04
Epoch 109/1000, Train Loss: -0.2639, Learning Rate: 4.0e-04
Epoch 110/1000, Train Loss: -0.2619, Learning Rate: 4.0e-04
Epoch 111/1000, Train Loss: -0.2637, Learning Rate: 4.0e-04
Epoch 112/1000, Train Loss: -0.2633, Learning Rate: 4.0e-04
Epoch 113/1000, Train Loss: -0.2641, Learning Rate: 4.0e-04
Epoch 114/1000, Train Loss: -0.2642, Learning Rate: 4.0e-04
Epoch 115/1000, Train Loss: -0.2640, Learning Rate: 4.0e-04
Epoch 116/1000, Train Loss: -0.2637, Learning Rate: 4.0e-04
Epoch 117/1000, Train Loss: -0.2627, Learning Rate: 4.0e-04
Epoch 118/1000, Train Loss: -0.2657, Learning Rate: 4.0e-04
Epoch 119/1000, Train Loss: -0.2637, Learning Rate: 4.0e-04
Epoch 120/1000, Train Loss: -0.2649, Learning Rate: 4.0e-04
Epoch 121/1000, Train Loss: -0.2664, Learning Rate: 4.0e-04
Epoch 122/1000, Train Loss: -0.2655, Learning Rate: 4.0e-04
Epoch 123/1000, Train Loss: -0.2640, Learning Rate: 4.0e-04
Epoch 124/1000, Train Loss: -0.2656, Learning Rate: 4.0e-04
Epoch 125/1000, Train Loss: -0.2647, Learning Rate: 4.0e-04
Epoch 125/1000, Val L1: 0.0267, Val PSNR: 28.78 dB
Saving checkpoint to ./ckpts/ckpt_124.pth
Epoch 126/1000, Train Loss: -0.2609, Learning Rate: 4.0e-04
Epoch 127/1000, Train Loss: -0.2647, Learning Rate: 4.0e-04
Epoch 128/1000, Train Loss: -0.2647, Learning Rate: 4.0e-04
Epoch 129/1000, Train Loss: -0.2655, Learning Rate: 4.0e-04
Epoch 130/1000, Train Loss: -0.2664, Learning Rate: 4.0e-04
Epoch 131/1000, Train Loss: -0.2657, Learning Rate: 4.0e-04
Epoch 132/1000, Train Loss: -0.2648, Learning Rate: 4.0e-04
Epoch 133/1000, Train Loss: -0.2664, Learning Rate: 4.0e-04
Epoch 134/1000, Train Loss: -0.2672, Learning Rate: 4.0e-04
Epoch 135/1000, Train Loss: -0.2664, Learning Rate: 4.0e-04
Epoch 136/1000, Train Loss: -0.2681, Learning Rate: 4.0e-04
Epoch 137/1000, Train Loss: -0.2685, Learning Rate: 4.0e-04
Epoch 138/1000, Train Loss: -0.2668, Learning Rate: 4.0e-04
Epoch 139/1000, Train Loss: -0.2678, Learning Rate: 4.0e-04
Epoch 140/1000, Train Loss: -0.2681, Learning Rate: 4.0e-04
Epoch 141/1000, Train Loss: -0.2672, Learning Rate: 4.0e-04
Epoch 142/1000, Train Loss: -0.2673, Learning Rate: 4.0e-04
Epoch 143/1000, Train Loss: -0.2689, Learning Rate: 4.0e-04
Epoch 144/1000, Train Loss: -0.2680, Learning Rate: 4.0e-04
Epoch 145/1000, Train Loss: -0.2698, Learning Rate: 4.0e-04
Epoch 146/1000, Train Loss: -0.2676, Learning Rate: 4.0e-04
Epoch 147/1000, Train Loss: -0.2695, Learning Rate: 4.0e-04
Epoch 148/1000, Train Loss: -0.2691, Learning Rate: 4.0e-04
Epoch 149/1000, Train Loss: -0.2699, Learning Rate: 4.0e-04
Epoch 150/1000, Train Loss: -0.2686, Learning Rate: 4.0e-04
Epoch 150/1000, Val L1: 0.0257, Val PSNR: 29.11 dB
Saving checkpoint to ./ckpts/ckpt_149.pth
Epoch 151/1000, Train Loss: -0.2682, Learning Rate: 4.0e-04
Epoch 152/1000, Train Loss: -0.2689, Learning Rate: 4.0e-04
Epoch 153/1000, Train Loss: -0.2687, Learning Rate: 4.0e-04
Epoch 154/1000, Train Loss: -0.2702, Learning Rate: 4.0e-04
Epoch 155/1000, Train Loss: -0.2699, Learning Rate: 4.0e-04
Epoch 156/1000, Train Loss: -0.2696, Learning Rate: 4.0e-04
Epoch 157/1000, Train Loss: -0.2685, Learning Rate: 4.0e-04
Epoch 158/1000, Train Loss: -0.2706, Learning Rate: 4.0e-04
Epoch 159/1000, Train Loss: -0.2702, Learning Rate: 4.0e-04
Epoch 160/1000, Train Loss: -0.2695, Learning Rate: 4.0e-04
Epoch 161/1000, Train Loss: -0.2716, Learning Rate: 4.0e-04
Epoch 162/1000, Train Loss: -0.2693, Learning Rate: 4.0e-04
Epoch 163/1000, Train Loss: -0.2716, Learning Rate: 4.0e-04
Epoch 164/1000, Train Loss: -0.2705, Learning Rate: 4.0e-04
Epoch 165/1000, Train Loss: -0.2724, Learning Rate: 4.0e-04
Epoch 166/1000, Train Loss: -0.2713, Learning Rate: 4.0e-04
Epoch 167/1000, Train Loss: -0.2710, Learning Rate: 4.0e-04
Epoch 168/1000, Train Loss: -0.2709, Learning Rate: 4.0e-04
Epoch 169/1000, Train Loss: -0.2708, Learning Rate: 4.0e-04
Epoch 170/1000, Train Loss: -0.2671, Learning Rate: 4.0e-04
Epoch 171/1000, Train Loss: -0.2702, Learning Rate: 4.0e-04
Epoch 172/1000, Train Loss: -0.2713, Learning Rate: 4.0e-04
Epoch 173/1000, Train Loss: -0.2710, Learning Rate: 4.0e-04
Epoch 174/1000, Train Loss: -0.2719, Learning Rate: 4.0e-04
Epoch 175/1000, Train Loss: -0.2705, Learning Rate: 4.0e-04
Epoch 175/1000, Val L1: 0.0248, Val PSNR: 29.26 dB
Saving checkpoint to ./ckpts/ckpt_174.pth
Epoch 176/1000, Train Loss: -0.2716, Learning Rate: 4.0e-04
Epoch 177/1000, Train Loss: -0.2700, Learning Rate: 4.0e-04
Epoch 178/1000, Train Loss: -0.2713, Learning Rate: 4.0e-04
Epoch 179/1000, Train Loss: -0.2717, Learning Rate: 4.0e-04
Epoch 180/1000, Train Loss: -0.2712, Learning Rate: 4.0e-04
Epoch 181/1000, Train Loss: -0.2717, Learning Rate: 4.0e-04
Epoch 182/1000, Train Loss: -0.2740, Learning Rate: 4.0e-04
Epoch 183/1000, Train Loss: -0.2724, Learning Rate: 4.0e-04
Epoch 184/1000, Train Loss: -0.2727, Learning Rate: 4.0e-04
Epoch 185/1000, Train Loss: -0.2729, Learning Rate: 4.0e-04
Epoch 186/1000, Train Loss: -0.2725, Learning Rate: 4.0e-04
Epoch 187/1000, Train Loss: -0.2726, Learning Rate: 4.0e-04
Epoch 188/1000, Train Loss: -0.2737, Learning Rate: 4.0e-04
Epoch 189/1000, Train Loss: -0.2700, Learning Rate: 4.0e-04
Epoch 190/1000, Train Loss: -0.2718, Learning Rate: 4.0e-04
Epoch 191/1000, Train Loss: -0.2738, Learning Rate: 4.0e-04
Epoch 192/1000, Train Loss: -0.2745, Learning Rate: 4.0e-04
Epoch 193/1000, Train Loss: -0.2741, Learning Rate: 4.0e-04
Epoch 194/1000, Train Loss: -0.2721, Learning Rate: 4.0e-04
Epoch 195/1000, Train Loss: -0.2733, Learning Rate: 4.0e-04
Epoch 196/1000, Train Loss: -0.2737, Learning Rate: 4.0e-04
Epoch 197/1000, Train Loss: -0.2742, Learning Rate: 4.0e-04
Epoch 198/1000, Train Loss: -0.2754, Learning Rate: 4.0e-04
Epoch 199/1000, Train Loss: -0.2751, Learning Rate: 4.0e-04
Epoch 200/1000, Train Loss: -0.2754, Learning Rate: 4.0e-04
Epoch 200/1000, Val L1: 0.0247, Val PSNR: 29.35 dB
Saving checkpoint to ./ckpts/ckpt_199.pth
Epoch 201/1000, Train Loss: -0.2729, Learning Rate: 4.0e-04
Epoch 202/1000, Train Loss: -0.2737, Learning Rate: 4.0e-04
Epoch 203/1000, Train Loss: -0.2750, Learning Rate: 4.0e-04
Epoch 204/1000, Train Loss: -0.2745, Learning Rate: 4.0e-04
Epoch 205/1000, Train Loss: -0.2759, Learning Rate: 4.0e-04
Epoch 206/1000, Train Loss: -0.2746, Learning Rate: 4.0e-04
Epoch 207/1000, Train Loss: -0.2744, Learning Rate: 4.0e-04
Epoch 208/1000, Train Loss: -0.2740, Learning Rate: 4.0e-04
Epoch 209/1000, Train Loss: -0.2750, Learning Rate: 4.0e-04
Epoch 210/1000, Train Loss: -0.2742, Learning Rate: 4.0e-04
Epoch 211/1000, Train Loss: -0.2746, Learning Rate: 4.0e-04
Epoch 212/1000, Train Loss: -0.2758, Learning Rate: 4.0e-04
Epoch 213/1000, Train Loss: -0.2748, Learning Rate: 4.0e-04
Epoch 214/1000, Train Loss: -0.2741, Learning Rate: 4.0e-04
Epoch 215/1000, Train Loss: -0.2739, Learning Rate: 4.0e-04
Epoch 216/1000, Train Loss: -0.2761, Learning Rate: 4.0e-04
Epoch 217/1000, Train Loss: -0.2758, Learning Rate: 4.0e-04
Epoch 218/1000, Train Loss: -0.2752, Learning Rate: 4.0e-04
Epoch 219/1000, Train Loss: -0.2749, Learning Rate: 4.0e-04
Epoch 220/1000, Train Loss: -0.2765, Learning Rate: 4.0e-04
Epoch 221/1000, Train Loss: -0.2761, Learning Rate: 4.0e-04
Epoch 222/1000, Train Loss: -0.2737, Learning Rate: 4.0e-04
Epoch 223/1000, Train Loss: -0.2739, Learning Rate: 4.0e-04
Epoch 224/1000, Train Loss: -0.2767, Learning Rate: 4.0e-04
Epoch 225/1000, Train Loss: -0.2760, Learning Rate: 4.0e-04
Epoch 225/1000, Val L1: 0.0256, Val PSNR: 29.27 dB
Saving checkpoint to ./ckpts/ckpt_224.pth
Epoch 226/1000, Train Loss: -0.2764, Learning Rate: 4.0e-04
Epoch 227/1000, Train Loss: -0.2758, Learning Rate: 4.0e-04
Epoch 228/1000, Train Loss: -0.2766, Learning Rate: 4.0e-04
Epoch 229/1000, Train Loss: -0.2785, Learning Rate: 4.0e-04
Epoch 230/1000, Train Loss: -0.2763, Learning Rate: 4.0e-04
Epoch 231/1000, Train Loss: -0.2754, Learning Rate: 4.0e-04
Epoch 232/1000, Train Loss: -0.2768, Learning Rate: 4.0e-04
Epoch 233/1000, Train Loss: -0.2777, Learning Rate: 4.0e-04
Epoch 234/1000, Train Loss: -0.2761, Learning Rate: 4.0e-04
Epoch 235/1000, Train Loss: -0.2775, Learning Rate: 4.0e-04
Epoch 236/1000, Train Loss: -0.2769, Learning Rate: 4.0e-04
Epoch 237/1000, Train Loss: -0.2764, Learning Rate: 4.0e-04
Epoch 238/1000, Train Loss: -0.2778, Learning Rate: 4.0e-04
Epoch 239/1000, Train Loss: -0.2765, Learning Rate: 4.0e-04
Epoch 240/1000, Train Loss: -0.2780, Learning Rate: 4.0e-04
Epoch 241/1000, Train Loss: -0.2768, Learning Rate: 4.0e-04
Epoch 242/1000, Train Loss: -0.2764, Learning Rate: 4.0e-04
Epoch 243/1000, Train Loss: -0.2776, Learning Rate: 4.0e-04
Epoch 244/1000, Train Loss: -0.2783, Learning Rate: 4.0e-04
Epoch 245/1000, Train Loss: -0.2764, Learning Rate: 4.0e-04
Epoch 246/1000, Train Loss: -0.2785, Learning Rate: 4.0e-04
Epoch 247/1000, Train Loss: -0.2777, Learning Rate: 4.0e-04
Epoch 248/1000, Train Loss: -0.2780, Learning Rate: 4.0e-04
Epoch 249/1000, Train Loss: -0.2776, Learning Rate: 4.0e-04
Epoch 250/1000, Train Loss: -0.2787, Learning Rate: 4.0e-04
Epoch 250/1000, Val L1: 0.0238, Val PSNR: 29.64 dB
Saving checkpoint to ./ckpts/ckpt_249.pth
Epoch 251/1000, Train Loss: -0.2783, Learning Rate: 4.0e-04
Epoch 252/1000, Train Loss: -0.2772, Learning Rate: 4.0e-04
Epoch 253/1000, Train Loss: -0.2793, Learning Rate: 4.0e-04
Epoch 254/1000, Train Loss: -0.2772, Learning Rate: 4.0e-04
Epoch 255/1000, Train Loss: -0.2783, Learning Rate: 4.0e-04
Epoch 256/1000, Train Loss: -0.2790, Learning Rate: 4.0e-04
Epoch 257/1000, Train Loss: -0.2784, Learning Rate: 4.0e-04
Epoch 258/1000, Train Loss: -0.2792, Learning Rate: 4.0e-04
Epoch 259/1000, Train Loss: -0.2791, Learning Rate: 4.0e-04
Epoch 260/1000, Train Loss: -0.2767, Learning Rate: 4.0e-04
Epoch 261/1000, Train Loss: -0.2774, Learning Rate: 4.0e-04
Epoch 262/1000, Train Loss: -0.2772, Learning Rate: 4.0e-04
Epoch 263/1000, Train Loss: -0.2767, Learning Rate: 4.0e-04
Epoch 264/1000, Train Loss: -0.2798, Learning Rate: 4.0e-04
Epoch 265/1000, Train Loss: -0.2786, Learning Rate: 4.0e-04
Epoch 266/1000, Train Loss: -0.2787, Learning Rate: 4.0e-04
Epoch 267/1000, Train Loss: -0.2793, Learning Rate: 4.0e-04
Epoch 268/1000, Train Loss: -0.2792, Learning Rate: 4.0e-04
Epoch 269/1000, Train Loss: -0.2794, Learning Rate: 4.0e-04
Epoch 270/1000, Train Loss: -0.2784, Learning Rate: 4.0e-04
Epoch 271/1000, Train Loss: -0.2801, Learning Rate: 4.0e-04
Epoch 272/1000, Train Loss: -0.2779, Learning Rate: 4.0e-04
Epoch 273/1000, Train Loss: -0.2808, Learning Rate: 4.0e-04
Epoch 274/1000, Train Loss: -0.2776, Learning Rate: 4.0e-04
Epoch 275/1000, Train Loss: -0.2795, Learning Rate: 4.0e-04
Epoch 275/1000, Val L1: 0.0236, Val PSNR: 29.71 dB
Saving checkpoint to ./ckpts/ckpt_274.pth
Epoch 276/1000, Train Loss: -0.2784, Learning Rate: 4.0e-04
Epoch 277/1000, Train Loss: -0.2789, Learning Rate: 4.0e-04
Epoch 278/1000, Train Loss: -0.2809, Learning Rate: 4.0e-04
Epoch 279/1000, Train Loss: -0.2793, Learning Rate: 4.0e-04
Epoch 280/1000, Train Loss: -0.2801, Learning Rate: 4.0e-04
Epoch 281/1000, Train Loss: -0.2800, Learning Rate: 4.0e-04
Epoch 282/1000, Train Loss: -0.2802, Learning Rate: 4.0e-04
Epoch 283/1000, Train Loss: -0.2793, Learning Rate: 4.0e-04
Epoch 284/1000, Train Loss: -0.2799, Learning Rate: 4.0e-04
Epoch 285/1000, Train Loss: -0.2809, Learning Rate: 4.0e-04
Epoch 286/1000, Train Loss: -0.2813, Learning Rate: 4.0e-04
Epoch 287/1000, Train Loss: -0.2803, Learning Rate: 4.0e-04
Epoch 288/1000, Train Loss: -0.2801, Learning Rate: 4.0e-04
Epoch 289/1000, Train Loss: -0.2819, Learning Rate: 4.0e-04
Epoch 290/1000, Train Loss: -0.2804, Learning Rate: 4.0e-04
Epoch 291/1000, Train Loss: -0.2808, Learning Rate: 4.0e-04
Epoch 292/1000, Train Loss: -0.2800, Learning Rate: 4.0e-04
Epoch 293/1000, Train Loss: -0.2807, Learning Rate: 4.0e-04
Epoch 294/1000, Train Loss: -0.2810, Learning Rate: 4.0e-04
Epoch 295/1000, Train Loss: -0.2814, Learning Rate: 4.0e-04
Epoch 296/1000, Train Loss: -0.2811, Learning Rate: 4.0e-04
Epoch 297/1000, Train Loss: -0.2804, Learning Rate: 4.0e-04
Epoch 298/1000, Train Loss: -0.2810, Learning Rate: 4.0e-04
Epoch 299/1000, Train Loss: -0.2799, Learning Rate: 4.0e-04
Epoch 300/1000, Train Loss: -0.2818, Learning Rate: 4.0e-04
Epoch 300/1000, Val L1: 0.0246, Val PSNR: 29.49 dB
Saving checkpoint to ./ckpts/ckpt_299.pth
Epoch 301/1000, Train Loss: -0.2796, Learning Rate: 4.0e-04
Epoch 302/1000, Train Loss: -0.2823, Learning Rate: 4.0e-04
Epoch 303/1000, Train Loss: -0.2821, Learning Rate: 4.0e-04
Epoch 304/1000, Train Loss: -0.2811, Learning Rate: 4.0e-04
Epoch 305/1000, Train Loss: -0.2800, Learning Rate: 4.0e-04
Epoch 306/1000, Train Loss: -0.2813, Learning Rate: 4.0e-04
Epoch 307/1000, Train Loss: -0.2813, Learning Rate: 4.0e-04
Epoch 308/1000, Train Loss: -0.2797, Learning Rate: 4.0e-04
Epoch 309/1000, Train Loss: -0.2800, Learning Rate: 4.0e-04
Epoch 310/1000, Train Loss: -0.2808, Learning Rate: 4.0e-04
Epoch 311/1000, Train Loss: -0.2804, Learning Rate: 4.0e-04
Epoch 312/1000, Train Loss: -0.2805, Learning Rate: 4.0e-04
Epoch 313/1000, Train Loss: -0.2819, Learning Rate: 4.0e-04
Epoch 314/1000, Train Loss: -0.2819, Learning Rate: 4.0e-04
Epoch 315/1000, Train Loss: -0.2831, Learning Rate: 4.0e-04
Epoch 316/1000, Train Loss: -0.2833, Learning Rate: 4.0e-04
Epoch 317/1000, Train Loss: -0.2820, Learning Rate: 4.0e-04
Epoch 318/1000, Train Loss: -0.2828, Learning Rate: 4.0e-04
Epoch 319/1000, Train Loss: -0.2827, Learning Rate: 4.0e-04
Epoch 320/1000, Train Loss: -0.2830, Learning Rate: 4.0e-04
Epoch 321/1000, Train Loss: -0.2823, Learning Rate: 4.0e-04
Epoch 322/1000, Train Loss: -0.2823, Learning Rate: 4.0e-04
Epoch 323/1000, Train Loss: -0.2827, Learning Rate: 4.0e-04
Epoch 324/1000, Train Loss: -0.2818, Learning Rate: 4.0e-04
Epoch 325/1000, Train Loss: -0.2827, Learning Rate: 4.0e-04
Epoch 325/1000, Val L1: 0.0235, Val PSNR: 29.78 dB
Saving checkpoint to ./ckpts/ckpt_324.pth
Epoch 326/1000, Train Loss: -0.2816, Learning Rate: 4.0e-04
Epoch 327/1000, Train Loss: -0.2840, Learning Rate: 4.0e-04
Epoch 328/1000, Train Loss: -0.2813, Learning Rate: 4.0e-04
Epoch 329/1000, Train Loss: -0.2814, Learning Rate: 4.0e-04
Epoch 330/1000, Train Loss: -0.2830, Learning Rate: 4.0e-04
Epoch 331/1000, Train Loss: -0.2826, Learning Rate: 4.0e-04
Epoch 332/1000, Train Loss: -0.2824, Learning Rate: 4.0e-04
Epoch 333/1000, Train Loss: -0.2832, Learning Rate: 4.0e-04
Epoch 334/1000, Train Loss: -0.2818, Learning Rate: 4.0e-04
Epoch 335/1000, Train Loss: -0.2824, Learning Rate: 4.0e-04
Epoch 336/1000, Train Loss: -0.2836, Learning Rate: 4.0e-04
Epoch 337/1000, Train Loss: -0.2838, Learning Rate: 4.0e-04
Epoch 338/1000, Train Loss: -0.2834, Learning Rate: 4.0e-04
Epoch 339/1000, Train Loss: -0.2829, Learning Rate: 4.0e-04
Epoch 340/1000, Train Loss: -0.2834, Learning Rate: 4.0e-04
Epoch 341/1000, Train Loss: -0.2829, Learning Rate: 4.0e-04
Epoch 342/1000, Train Loss: -0.2824, Learning Rate: 4.0e-04
Epoch 343/1000, Train Loss: -0.2839, Learning Rate: 4.0e-04
Epoch 344/1000, Train Loss: -0.2838, Learning Rate: 4.0e-04
Epoch 345/1000, Train Loss: -0.2834, Learning Rate: 4.0e-04
Epoch 346/1000, Train Loss: -0.2834, Learning Rate: 4.0e-04
Epoch 347/1000, Train Loss: -0.2827, Learning Rate: 4.0e-04
Epoch 348/1000, Train Loss: -0.2836, Learning Rate: 4.0e-04
Epoch 349/1000, Train Loss: -0.2834, Learning Rate: 4.0e-04
Epoch 350/1000, Train Loss: -0.2834, Learning Rate: 4.0e-04
Epoch 350/1000, Val L1: 0.0231, Val PSNR: 29.90 dB
Saving checkpoint to ./ckpts/ckpt_349.pth
Epoch 351/1000, Train Loss: -0.2841, Learning Rate: 4.0e-04
Epoch 352/1000, Train Loss: -0.2845, Learning Rate: 4.0e-04
Epoch 353/1000, Train Loss: -0.2825, Learning Rate: 4.0e-04
